asin,domain_id,market,title,detected_layout,expected_layout,is_mismatch,confidence,detection_layer,new_price,used_price,brand,source
B07W6H8K7K,2,UK,"Logitech MX Keys S - Pale Grey, QWERTZ German Layout",qwertz,qwerty_uk,True,high,title_keyword,109.99,70.49,Logitech,keepa_search
B07W6H8K7K,4,FR,Logitech MX Keys S Wireless Keyboard English One Size,qwertz,azerty,True,high,title_keyword,98.12,83.38,Logitech,keepa_search
B07W6H8K7K,8,IT,"Logitech Tastiera senza fili MX Keys S, basso profilo, digitazione silenziosa precisa, tasti programmabili, retroilluminazione, Bluetooth, ricaricabile, per Windows PC/Linux/Chrome/Mac - Hellgrau, lay",qwertz,qwerty_it,True,high,title_keyword,111.42,83.38,Logitech,keepa_search
B07W6H8K7K,9,ES,"Logitech Teclado inalámbrico MX Keys S, perfil bajo, escritura precisa y silenciosa, teclas programables, retroiluminación, Bluetooth, recargable, para Windows PC/Linux/Chrome/Mac, Hellgrau, diseño Qw",qwertz,qwerty_es,True,high,title_keyword,92.99,83.38,Logitech,keepa_search
B07W4DGZ54,2,UK,"Logitech MK295 Silent Wireless Combo, QWERTZ German Layout - Grey,920-009794",qwertz,qwerty_uk,True,high,title_keyword,29.99,24.94,Logitech,keepa_search
B07W4DGZ54,4,FR,LOGITECH - INPUT DEVICES mk295 Silent Wireless Combo Graphite deu Central GR,qwertz,azerty,True,high,title_keyword,47.25,37.84,Logitech,keepa_search
B07W4DGZ54,8,IT,"Logitech MK295 Kit Mouse e Tastiera Wireless, Layout Tedesco Qwertz, Grigio",qwertz,qwerty_it,True,high,title_keyword,45.0,37.8,Logitech,keepa_search
B07W4DGZ54,9,ES,"Logitech MK295 Combo de Ratón y Teclado Inalámbricos, Disposición QWERTZ Alemán, Gris",qwertz,qwerty_es,True,high,title_keyword,30.21,26.0,Logitech,keepa_search
B0G1YHW7MJ,2,UK,"Keychron V6 Max Wireless Mechanical Keyboard, Programmable with QMK/Launcher, 100% ISO DE Layout, 4000mAh Battery, QWERTZ Gaming Keyboard for Mac/Windows/Linux - Gateron Jupiter Red Switch",qwertz,qwerty_uk,True,high,title_keyword,159.99,,Keychron,keepa_search
B0G1YHW7MJ,4,FR,"Keychron V6 Max Clavier Mécanique sans Fil, Programmable avec QMK/Launcher, 100% DE-ISO Disposition, 4000 mAh Batterie, pour Mac/Windows/Linux - Gateron Jupiter Interrupteurs Rouges",qwertz,azerty,True,high,title_keyword,139.99,,Keychron,keepa_search
B0G1YHW7MJ,8,IT,"Keychron V6 Max Tastiera meccanica senza fili, programmabile con QMK/Launcher, layout ISO 100%, batteria da 4000 mAh, tastiera da gioco QWERTZ per Mac/Windows/Linux - Gateron Jupiter Red Switch",qwertz,qwerty_it,True,high,title_keyword,139.99,,Keychron,keepa_search
B0G1YHW7MJ,9,ES,"Keychron V6 Max Teclado mecánico inalámbrico programable con QMK/Launcher, 100% ISO DE, batería de 4000 mAh, teclado QWERTZ para juegos Mac/Windows/Linux, interruptor Gateron Júpiter rojo",qwertz,qwerty_es,True,high,title_keyword,139.99,,Keychron,keepa_search
B00F35N1KS,2,UK,"CHERRY KC 1000, Wired Keyboard, German Layout (QWERTZ), Plug & Play via USB Port, Flat Design, Whisper-Quiet Keystrokes, White-Grey",qwertz,qwerty_uk,True,high,title_keyword,24.37,,CHERRY,keepa_search
B00F35N1KS,4,FR,"CHERRY KC 1000, Clavier Filaire, Disposition Allemande (QWERTZ), Plug & Play Via Un Port USB, Design Plat, Frappe silencieuse, Blanc grisé",qwertz,azerty,True,high,title_keyword,28.88,21.59,CHERRY,keepa_search
B00F35N1KS,8,IT,"CHERRY KC 1000, Tastiera con filo, Layout per la Germania (QWERTZ), Plug & Play tramite porta USB, Design piatto, Battitura estremamente silenziosa, Colore bianco-grigio",qwertz,qwerty_it,True,high,title_keyword,28.88,21.59,CHERRY,keepa_search
B00F35N1KS,9,ES,"Cherry KC 1000, Teclado con Cable, Distribución de Teclado Alemán (QWERTZ), Plug & Play a través de USB, Diseño Plano, Tecleo Silencioso, Blanco/Gris",qwertz,qwerty_es,True,high,title_keyword,28.88,21.59,CHERRY,keepa_search
B0C5LJLYF8,2,UK,"RK ROYAL KLUDGE RK84-DE 75% Gaming Keyboard, 85 Keys TKL, Bluetooth Mechanical, Red Switch, RGB Backlight, 2.4 GHz for Mac and Windows, Black",qwertz,qwerty_uk,True,high,title_keyword,76.4,,RK ROYAL KLUDGE,keepa_search
B0C5LJLYF8,4,FR,"RK ROYAL KLUDGE RK84-DE Clavier de jeu 75% 85 touches TKL mécanique Bluetooth, interrupteur rouge, rétroéclairage RVB, 2,4 GHz pour Mac et Windows, noir, QWERTZ",qwertz,azerty,True,high,title_keyword,59.99,,RK ROYAL KLUDGE,keepa_search
B0C5LJLYF8,8,IT,"RK ROYAL KLUDGE Tastiera RK84-DE, 75% TKL, meccanica Bluetooth rosso RGB, 2,4 GHz, Mac e Windows, nero, QWERTZ",qwertz,qwerty_it,True,high,title_keyword,59.99,,RK ROYAL KLUDGE,keepa_search
B0C5LJLYF8,9,ES,"RK ROYAL KLUDGE RK84-DE 75%Teclado Gaming, 85 Teclas TKL, Mecánico Bluetooth, Interruptor Rojo, Retroiluminación RGB, 2,4 GHz para Mac y Windows, Negro, QWERTZ",qwertz,qwerty_es,True,high,title_keyword,67.49,,RK ROYAL KLUDGE,keepa_search
B0FKGLJP9M,2,UK,"nacodex AJAZZ AK35I V3 Wired Mechanical Keyboard, 104 Keys Gaming Keyboard, Equipped with Multimedia Keys and Rotary Knob, with German QWERTZ Keyboard Layout, Grey Beige Orange",qwertz,qwerty_uk,True,high,title_keyword,59.49,,nacodex,"keepa_search,static_pool"
B0FKGLJP9M,4,FR,"nacodex AJAZZ AK35I V3 Clavier mécanique filaire, 104 touches, équipé de touches multimédia et de bouton rotatif, avec disposition du clavier QWERTZ allemand, gris, beige, orange",qwertz,azerty,True,high,title_keyword,59.49,,nacodex,"keepa_search,static_pool"
B0FKGLJP9M,8,IT,"nacodex AJAZZ AK35I V3 - Tastiera meccanica cablata, tastiera da gaming, 104 tasti, dotata di tasti multimediali e manopola girevole, con tastiera QWERTZ tedesca, grigio beige, arancione",qwertz,qwerty_it,True,high,title_keyword,59.49,,nacodex,"keepa_search,static_pool"
B0FKGLJP9M,9,ES,"nacodex AJAZZ AK35I V3 Teclado mecánico con cable, teclado para juegos de 104 teclas, equipado con teclas multimedia y botón giratorio, con disposición de teclado alemán QWERTZ, gris, beige, naranja",qwertz,qwerty_es,True,high,title_keyword,59.49,,nacodex,"keepa_search,static_pool"
B0BZ87MWR8,2,UK,"TECURS Mechanical Gaming Keyboard - QWERTZ Mechanical Keyboard with Magnetic Wrist Rest, Multimedia Keys, 105 Keys Wired Red Switch Keyboard for PC/PS5/PS4, 19 LED Modes",qwertz,qwerty_uk,True,high,title_keyword,55.99,,TECURS,keepa_search
